,method,split,explanation,explanation_inv,model_accuracy,explanation_accuracy,explanation_accuracy_inv,elapsed_time,elapsed_time_inv
10,Psi,0,(False),(has_crown_color_white & ~has_under_tail_color_white),63.449418477978845,60.60437646642677,60.60437646642677,0.052508813142776486,0.052508813142776486
11,Psi,1,(has_bill_shape_hooked_seabird),(has_crown_color_white & ~has_under_tail_color_white),71.12556200679266,64.30798706363123,64.30798706363123,0.03747156381607056,0.03747156381607056
12,Psi,2,(has_bill_shape_hooked_seabird & ~has_forehead_color_white),(~has_size_medium_9__16_in & (has_bill_shape_hooked_seabird | has_crown_color_white)),65.11124892983656,64.54139648643803,64.54139648643803,0.038303383588790894,0.038303383588790894
13,Psi,3,(has_bill_shape_hooked_seabird & ~has_wing_color_grey),(False),71.70573719795857,64.32262907284792,64.32262907284792,0.03768761277198791,0.03768761277198791
14,Psi,4,(has_bill_shape_hooked_seabird & ~has_upper_tail_color_grey),(has_crown_color_white & ~has_size_medium_9__16_in & ~has_size_small_5__9_in & ~has_under_tail_color_white),60.26521636650693,63.300125574832215,63.300125574832215,0.03839153289794922,0.03839153289794922
15,Psi,5,(has_bill_shape_hooked_seabird & ~has_leg_color_black),(~has_size_medium_9__16_in & ~has_size_small_5__9_in & (has_crown_color_white | has_wing_pattern_solid)),68.79048867475137,66.41665628741619,66.41665628741619,0.03588638424873352,0.03588638424873352
16,Psi,6,(has_bill_shape_hooked_seabird & ~has_upper_tail_color_grey),(has_bill_shape_hooked_seabird & ~has_size_medium_9__16_in),68.80265761634755,62.65154392051192,62.65154392051192,0.03933784961700439,0.03933784961700439
17,Psi,7,(has_bill_shape_hooked_seabird & ~has_forehead_color_white),(has_crown_color_white & ~has_size_medium_9__16_in & ~has_under_tail_color_white),69.1326198758242,64.7686681035937,64.7686681035937,0.03880744934082031,0.03880744934082031
18,Psi,8,(has_bill_shape_hooked_seabird & has_size_medium_9__16_in),(False),61.02512648170541,63.21362964795753,63.21362964795753,0.0342988383769989,0.0342988383769989
19,Psi,9,(has_bill_shape_hooked_seabird & ~has_wing_color_grey),(has_crown_color_white),66.92896249814407,62.5199224296444,62.5199224296444,0.04379024028778076,0.04379024028778076
